STT,Từ vựng gốc,Từ loại,Phiên âm,Ý nghĩa,Câu ví dụ,Dịch câu ví dụ
122,此,Đại từ,cǐ,"này, đây, việc này (văn viết)",李老师关于如何学好汉字的讲解非常透彻，从此我们受益匪浅。,"Lời cô Lý giảng về cách học tốt chữ Hán rất sâu, chúng tôi lợi ích lớn."
123,此外,Liên từ,cǐwài,"ngoài ra, bên cạnh đó, vả lại",学习汉语拼音很重要，此外，多练习汉字笔顺规范书写也必不可少。,"Học bính âm quan trọng, ngoài ra tập viết đúng nét cũng không thể thiếu."
124,次,Tính từ / Lượng từ,cì,"thứ hai, kém, chất lượng kém, lần",这批新买的电脑设备质量有一点儿次，用了一天就坏了两个主板。,"Loạt máy tính mới mua này chất lượng hơi kém, dùng 1 ngày đã hỏng 2 main."
125,刺激,Động từ / Danh từ,cìjī,"kích thích, làm chấn động",辣的食物会强烈刺激我们的胃部，生病期间最好吃清淡的豆腐汤。,"Đồ cay kích thích dạ dày, trong lúc ốm tốt nhất ăn canh đậu phụ nhạt."
126,匆忙,Tính từ,cōngmáng,"vội vã, hối hả, vội vàng",他因为早上起床晚了，吃完早饭就匆匆忙忙地背着书包跑去上课。,"Vì sáng dậy muộn, ăn sáng xong cậu ấy vội vàng đeo cặp chạy đi học."
127,从此,Phó từ,cóngcǐ,"từ đó, từ nay về sau, kể từ đây",自从他在汉语比赛中拿到冠军，从此他对学习普通话充满了自信。,"Từ khi giành quán quân thi tiếng Trung, cậu ấy tự tin hẳn lên."
128,粗,Tính từ,cū,"to, thô, dày, sơ sài",这根黑色绳子有一点儿太粗了，不适合用来绑这个小巧的包裹。,"Sợi dây đen này hơi to quá, không hợp buộc gói đồ nhỏ nhắn này."
129,粗心,Tính từ,cūxīn,"cẩu thả, vô ý, không cẩn thận",在写汉语报告的时候一定要认真核对，千万不能粗心写错汉字。,"Khi viết báo cáo tiếng Trung phải check kỹ, chớ cẩu thả viết sai chữ."
130,促进,Động từ,cùjìn,"thúc đẩy, xúc tiến",积极开展学术交流合作有利于促进两校科研水平的共同提高。,Tích cực giao lưu hợp tác giúp thúc đẩy nâng cao trình độ hai trường.
131,促使,Động từ,cùshǐ,"thúc đẩy, làm cho, khiến cho",正是李老师那番耐心的鼓励，促使他下定决心努力学好普通话。,Chính lời khuyên kiên trì của cô Lý thúc đẩy cậu ấy quyết tâm học tốt.
132,措施,Danh từ,cuòshī,"biện pháp, phương án xử lý",学校采取了多项有效的安全保障措施，确保留学生人身安全安全。,Trường áp dụng nhiều biện pháp bảo vệ hiệu quả đảm bảo an toàn học sinh.
133,打,Lượng từ / Động từ,dá,"tá (đơn vị 12 chiếc), đánh, gọi (điện thoại)",妈妈今天下午在商场买了一打非常精美别致且暖和的白色短袜。,Mẹ mua một tá tất ngắn màu trắng rất đẹp và ấm ở siêu thị chiều nay.
134,打,Động từ,dǎ,"đánh, gọi điện, đánh chữ, chơi bóng",请帮我打个电话问问李老师，今天下午的汉语口语课在哪个教室。,Giúp tôi gọi điện hỏi cô Lý xem giờ nói chiều nay học ở phòng nào.
135,答案,Danh từ,dá'an,"đáp án, câu trả lời",这道汉语阅读测试题的正确答案全部都在上下文的课文内容里。,Đáp án đúng của câu đọc tiếng Trung này nằm toàn bộ ở ngữ cảnh bài.
136,打败,Động từ,dǎbài,"đánh bại, chiến thắng",在昨天的激烈篮球决赛中，我们学校代表队成功打败了对方拿冠。,"Trận chung kết bóng rổ kịch tính hôm qua, đội trường ta đánh bại đối thủ."
137,打雷,Động từ,dǎléi,"sấm sét, đánh sấm",外面天空阴暗，突然响起了轰隆隆的打雷声，马上就要下暴雨了。,"Trời tối bỗng vang tiếng sấm nổ vang, sắp có mưa bão to rồi."
138,打扫,Động từ,dǎsǎo,"dọn dẹp, quét dọn, vệ sinh",每逢周末，宿舍里的同学们都会聚在一起把房间彻底打扫干净。,"Mỗi cuối tuần, học sinh trong ký túc tụ tập dọn dẹp sạch phòng."
139,打折,Động từ,dǎzhé,"giảm giá, chiết khấu",学校门口的那家中国小吃店每逢周二都会打折，生意相当火爆。,"Quán ăn Trung Quốc cổng trường giảm giá thứ ba hàng tuần, rất đông."
140,打针,Động từ,dǎzhēn,"tiêm, chích thuốc, tiêm phòng",我今天感冒发烧得很严重，去学校医院医生给我开药还打了一针。,Hôm nay tôi sốt nặng đi bệnh viện trường bác sĩ kê đơn và tiêm 1 mũi.
141,大巴,Danh từ,dàbā,"xe buýt lớn, xe khách",今天上午，留学生们乘坐学校安排的绿色大巴前往北京郊区游玩。,Sáng nay du học sinh đi xe buýt xanh trường xếp đi chơi ngoại ô.
142,大多,Phó từ,dàduō,"phần lớn, đa số",我们班的外国留学生大多来自亚洲国家，大家相处得非常愉快。,"Du học sinh lớp tôi phần lớn từ nước châu Á, sống rất vui vẻ."
143,大方,Tính từ,dàfang,"rộng rãi, hào phóng, lịch thiệp, tự nhiên",李华待人热情大方，每次同学聚会都主动帮大家买一些饮料零食。,"Lý Hoa hào phóng cởi mở, mỗi lần tụ tập đều mua nước bánh cho cả lớp."
144,大哥,Danh từ,dàgē,"anh cả, anh lớn",我的大哥哥目前正在北京的一所重点大学攻读电脑专业硕士学位。,Anh cả tôi hiện đang học thạc sĩ máy tính ở trường trọng điểm Bắc Kinh.
145,大规模,Danh từ / Tính từ,dàguīmó,"quy mô lớn, diện rộng",政府下个月计划在这片绿色的土地上进行大规模的新城建设工程。,Chính phủ định triển khai dự án xây đô thị quy mô lớn trên đất này.
146,大会,Danh từ,dàhuì,"đại hội, cuộc họp toàn thể",明天上午九点，全体教职工要在学校大礼堂准时参加表彰大会。,9h sáng mai toàn bộ giáo viên họp đại hội tuyên dương ở hội trường.
147,大姐,Danh từ,dàjiě,"chị cả, chị lớn",我的大姐姐今年二十五岁，在北京的一家著名外企担任翻译翻译。,"Chị cả tôi 25 tuổi, làm phiên dịch ở một công ty nước ngoài Bắc Kinh."
148,大楼,Danh từ,dàlóu,"tòa nhà lớn, cao ốc, tòa lầu",新建的西区图书馆大楼巍然耸立，是学校里最标志性的建筑了。,Tòa nhà thư viện mới khu tây cao sừng sững là mốc tiêu biểu trường.
149,大陆,Danh từ,dàiù,"đại lục, lục địa",这艘货轮跨越了广阔的海洋，终于将商品运抵了亚洲大陆港口。,Tàu hàng vượt đại dương cuối cùng đã đưa hàng đến cảng đại lục châu Á.
150,大妈,Danh từ,dàmā,"bác gái, thím, bà bác (xưng hô thân mật)",小吃店的大妈态度非常亲切友好，总是给我们多加一勺豆腐脑。,"Bác gái quán ăn thái độ rất ân cần, luôn cho chúng tôi thêm đậu hũ."
151,大型,Tính từ,dàxíng,"quy mô lớn, cỡ lớn",学校体育馆今晚将举办一场大型中外学生新年联欢晚会活动。,Nhà thể thao trường tối nay tổ chức gala đón năm mới sinh viên quy mô lớn.
152,大爷,Danh từ,dàyé,"bác trai, cụ ông (xưng hô lịch sự tôn trọng)",看门的大爷每天早晨都会热情地跟进出校门的留学生打招呼。,Ông bảo vệ cổng mỗi sáng đều nhiệt tình chào hỏi du học sinh ra vào.
153,大众,Danh từ,dàzhòng,"đại chúng, công chúng, mọi người",这款新研发的电脑软件操作界面简洁，非常适合大众日常使用。,Phần mềm mới nghiên cứu giao diện dễ dùng rất hợp mọi người dùng.
154,代替,Động từ,dàitì,thay thế,随着人工智能发展，一些简单的体力劳动将慢慢被机器代替。,Công nghệ phát triển giúp một số việc chân tay dần được máy thay thế.
155,待遇,Danh từ,dàiyù,"đãi ngộ, chế độ đãi ngộ, lương bổng",这家高科技公司给优秀的技术开发人员提供了相当优厚的待遇。,Công ty công nghệ cao trả chế độ đãi ngộ rất hậu hĩnh cho dev giỏi.
156,袋,Danh từ / Lượng từ,dài,"túi, bao (lượng từ đựng đồ)",妈妈从菜市场买回来一袋新鲜的绿豆和几斤红彤彤的红苹果。,Mẹ mua một túi đỗ xanh tươi và vài cân táo đỏ ở chợ về.
157,戴,Động từ,dài,"đeo, đội, mặc (mũ/kính/khăn/đồng hồ)",那个戴着红帽子、戴着黑框眼镜正在看汉语书的男孩就是李华。,Cậu bé đội mũ đỏ đeo kính gọng đen đang đọc sách Trung là Lý Hoa.
158,担保,Động từ / Danh từ,dānbǎo,"đảm bảo, bảo lãnh",叔叔愿意作为我的经济担保人，支持我下个月去中国留学留学。,Chú đồng ý làm người bảo lãnh tài chính hỗ trợ tôi đi du học Trung Quốc.
159,担任,Động từ,dānrèn,"đảm nhiệm, giữ chức vụ",李华在我们班担任了三年的班长，工作认真，深受大家爱戴。,"Lý Hoa làm lớp trưởng 3 năm nay, làm việc tận tâm được yêu mến."
160,担心,Động từ,dānxīn,"lo lắng, băn khoăn",只要你平时认真练习汉语口语，就不用担心明天的期末考试。,"Chỉ cần thường ngày chăm luyện nói, không cần lo thi cuối kỳ mai."
161,单,Tính từ / Phó từ,dān,"đơn, lẻ, chỉ, tờ đơn, hóa đơn",这是今天去商场买日常用品的账单，请你仔细核对一下数据。,"Đây là hóa đơn sắm đồ dùng hàng ngày hôm nay, hãy check kỹ số liệu."
162,单纯,Tính từ,dānchún,"đơn thuần, giản đơn, trong sáng",这个小妹妹的心思非常单纯可爱，脸上总是挂着天真的笑容。,"Tâm tư em gái nhỏ rất trong sáng đáng yêu, mặt luôn treo nụ cười."
163,单调,Tính từ,dāndiào,"đơn điệu, tẻ nhạt, nhàm chán",宿舍里的生活如果整天只是看书写汉字，难免会显得有些单调。,Cuộc sống ký túc suốt ngày chỉ đọc sách viết chữ khó tránh hơi tẻ nhạt.
164,单独,Phó từ,dāndú,"đơn độc, một mình, tự mình",李老师今天下午找他单独谈话，详细询问了他的汉语学习情况。,Cô Lý chiều nay gặp riêng nói chuyện hỏi thăm tình hình học của cậu.
165,淡,Tính từ,dàn,"nhạt, loãng, nhạt nhẽo",这碗豆腐鲫鱼汤的味道有一点儿淡，你可以往里面加少许盐。,"Bát canh cá đậu phụ này hơi nhạt, bạn có thể thêm chút muối."
166,导演,Động từ / Danh từ,dǎoyǎn,"đạo diễn, làm đạo diễn",那位著名的中国导演上周来到我们学校，举办了一场学术讲座。,Đạo diễn nổi tiếng Trung Quốc tuần trước đến trường thuyết trình.
167,导致,Động từ,dǎozhì,"dẫn đến, gây ra (kết quả không mong muốn)",正是因为由于平时的懒惰和粗心，才导致他这次汉语考试不及格。,Chính vì lười biếng và cẩu thả mới dẫn đến thi trượt tiếng Trung.
168,倒闭,Động từ,dǎobì,"đóng cửa, phá sản, sập tiệm",由于经营不善加上缺少资金，学校门口那家小书店倒闭了。,"Do làm ăn kém lại thiếu kinh phí, tiệm sách nhỏ cổng trường sập tiệm."
169,倒车,Động từ,dàochē,"lùi xe, chuyển xe/đổi tàu xe",去北京市中心博物馆没有直达车，我们需要在半路倒一次车才行。,"Đi bảo tàng trung tâm không có xe thẳng, ta phải đổi xe giữa đường."
170,倒车,Động từ,dàochē,"lùi xe, đảo xe",他在狭窄的宿舍楼道门口倒车时非常小心，避免碰到旁边的单车。,Khi lùi xe ở cổng hành lang ký túc nhỏ hẹp cậu ấy rất cẩn thận.
171,得意,Tính từ,déyì,"đắc ý, tự mãn, hài lòng tự đắc",看到自己写的汉语报告拿到了满分，他的脸上露出了得意的笑容。,"Thấy báo cáo tiếng Trung đạt điểm tối đa, mặt cậu lộ nụ cười đắc ý."
172,得,Động từ / Phó từ,děi,"phải, cần, được",现在时间已经很晚了，我们得赶紧回宿舍，不然大门要锁了。,"Giờ muộn lắm rồi, tụi mình phải mau về ký túc kẻo cổng khóa."
173,灯光,Danh từ,dēngguāng,"ánh sáng đèn, ánh đèn",舞台上五颜六色的明亮灯光随着动听的中文歌曲节奏不断闪烁。,Ánh đèn màu sắc sân khấu lấp lánh theo điệu nhạc tiếng Trung hay.
174,登,Động từ,dēng,"leo, trèo, đăng tải (tin tức/báo)",今天的中文报纸上登载了一篇关于我们学校文化节的精彩报道。,Báo tiếng Trung hôm nay đăng một bài viết hay về lễ hội trường ta.
175,登记,Động từ,dēngjì,"đăng ký, ghi danh, ghi chép sổ",进入留学生宿舍大楼前，外来人员必须要先在门口管理员处登记。,"Trước khi vào khu ký túc du học sinh, người ngoài phải đăng ký."
176,登录,Động từ,dēnglù,đăng nhập (mạng/tài khoản),请在电脑浏览器输入框里输入账号密码，登录我们学校官网官网。,Nhập tài khoản mật khẩu vào trình duyệt để đăng nhập web trường.
177,登山,Động từ,dēngshān,"leo núi, đi dã ngoại núi",周末，我们汉语学习小组打算一起去北京郊区进行登山活动活动。,Cuối tuần nhóm học tiếng Trung tụi tôi định đi leo núi ở ngoại ô.
178,的确,Phó từ,díquè,"thực sự, quả thực, đúng là",通过这段时间多听多练，他的普通话口语水平的确提高了很多。,"Qua luyện nghe nói nhiều, khẩu ngữ tiếng Phổ thông quả thực tiến bộ."
179,敌人,Danh từ,dírén,"kẻ thù, quân địch",在和平发展的时代里，我们不应该把不同文化背景的人当成敌人。,"Thời đại hòa bình, ta không nên xem người văn hóa khác là kẻ thù."
180,底,Danh từ,dǐ,"đáy, cuối (tháng/năm/sách)",请在合同最底下的那行红线上签上你的名字，并写好日期日期。,Xin hãy ký tên vào dòng kẻ đỏ ở cuối hợp đồng và điền ngày tháng.
